the_geom,CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE
"POLYGON ((-114.10061493005 51.047994301993, -114.100559831546 51.047991616532, -114.100513457746 51.047993939812, -114.100472144414 51.047995809237, -114.100422120074 51.047991743921, -114.100380693411 51.047960316347, -114.100316918524 51.04796174653, -114.100271294296 51.047975017664, -114.100222004244 51.047974151976, -114.100178520624 51.047974189253, -114.10012631486 51.047971042632, -114.100075569163 51.047969728643, -114.100033519624 51.047967481247, -114.099981301581 51.047957960852, -114.099931971757 51.047945228631, -114.099879017586 51.047931601412, -114.099826776503 51.047917963672, -114.099795585015 51.047910699636, -114.099740462157 51.047896605841, -114.099697651993 51.047884794798, -114.099649776039 51.047871611731, -114.099599717113 51.047857972927, -114.099550385572 51.047844341573, -114.099495976927 51.047830705531, -114.099449540522 51.04781706268, -114.099401654356 51.047805705334, -114.099349423931 51.047790251445, -114.099308797922 51.047779346366, -114.099253661639 51.047766169305, -114.099198526814 51.047752992217, -114.099148465228 51.047737985884, -114.099105666687 51.047724799186, -114.099062123654 51.047710245765, -114.099011329974 51.04769296649, -114.098962705037 51.047676133945, -114.098918449019 51.047661581074, -114.098867657379 51.047645209698, -114.098831558107 51.047636933716, -114.098785718958 51.047635704915, -114.098738592709 51.047633470334, -114.098683491837 51.047629417551, -114.098633470969 51.047626726895, -114.09858344816 51.047623119266, -114.098534878124 51.047618611418, -114.098486291418 51.047613636098, -114.098436266711 51.047609120445, -114.098381165894 51.04760506752, -114.098334037754 51.047601915824, -114.098280392597 51.047598320103, -114.098241968293 51.04759652749, -114.098194115232 51.047593834824, -114.098138284742 51.047589332911, -114.098082469933 51.047584821968, -114.098037511005 51.047581668332, -114.097994730748 51.04757760489, -114.097943269566 51.047574915146, -114.097892530121 51.047576332183, -114.097841786351 51.047576374672, -114.097787411995 51.047571862382, -114.0977395723 51.047568720032, -114.097688099294 51.0475678551, -114.097644614142 51.047566983474, -114.097597490388 51.047565197917, -114.097542390659 51.047561603071, -114.097485836748 51.047558917376, -114.097438001859 51.0475580493, -114.097391604992 51.04755672153, -114.09734955644 51.047554023681, -114.097304615676 51.047552694664, -114.097261116284 51.047551822907, -114.097227786756 51.047552308214, -114.0971792141 51.047553265562, -114.097126298321 51.047550576667, -114.097077710897 51.047545151276, -114.097026227917 51.047538811315, -114.09698344636 51.047533381064, -114.096927632686 51.047529328045, -114.096873992932 51.047528914039, -114.096838468597 51.047529410943, -114.096795712724 51.047529446359, -114.096741343745 51.047528124933, -114.096689134449 51.047522243901, -114.096652164957 51.047520458552, -114.096596337066 51.047516405387, -114.096557179878 51.047511879948, -114.096516589384 51.047511454997, -114.096481056523 51.047507843492, -114.096436838422 51.047504230153, -114.096390440702 51.047502451601, -114.096347666806 51.047500661952, -114.096297649062 51.047499345723, -114.096241822159 51.047495741874, -114.096185279834 51.0474916891, -114.096141772963 51.047487167101, -114.096104075237 51.047484923702, -114.096049705382 51.047483143478, -114.096008389975 51.047483186413, -114.095956207324 51.047483229265, -114.095903297806 51.047484189642, -114.095851825425 51.047482874416, -114.095801088335 51.047486106468, -114.095752553657 51.047491629976, -114.095710521228 51.047496680672, -114.095672126867 51.047503102906, -114.095627221119 51.047511805755, -114.095578679142 51.047521428514, -114.095544633103 51.04752648071, -114.095491722585 51.047526982426, -114.095442438711 51.047528847596, -114.095390986607 51.047531172991, -114.095338806722 51.047532590095, -114.095296041268 51.047534908362, -114.095241697814 51.047539060964, -114.095186616998 51.04754458957, -114.095137356203 51.047551469963, -114.095082264152 51.047551523783, -114.095032242636 51.04754837311, -114.094982218782 51.04754477293, -114.094931474612 51.047543906193, -114.094880019673 51.047544864926, -114.094842326606 51.047544895518, -114.094793039896 51.047545393078, -114.094740858553 51.047546810815, -114.094706384723 51.047549145519, -114.0947008844 51.044851703178, -114.094700390891 51.043873160007, -114.094668846633 51.043261489668, -114.094655755924 51.042783612977, -114.094672982519 51.042317180801, -114.094714902185 51.04183456952, -114.094709146018 51.041367617399, -114.094712260707 51.040885942745, -114.094710038397 51.040414913534, -114.09471247483 51.039934203051, -114.094710929013 51.039464147702, -114.094712326398 51.038982967819, -114.094709869213 51.038509976182, -114.094710043824 51.037824168115, -114.095431442722 51.037826030097, -114.09650705636 51.037828797603, -114.097165212644 51.037830391842, -114.097595791175 51.037830378283, -114.09866259874 51.037830338392, -114.098647361795 51.037875860047, -114.098641016517 51.037930817025, -114.098645865569 51.038212049948, -114.098653071538 51.03827366318, -114.098663105969 51.038334380442, -114.09867595939 51.038389737434, -114.09870017028 51.038462052978, -114.098729958632 51.038536756875, -114.098810894109 51.038666177666, -114.098898677862 51.038777194192, -114.099532153877 51.039128002624, -114.100270832448 51.039540873384, -114.101760501111 51.040524396943, -114.10204365197 51.040532321743, -114.102035324027 51.040648952942, -114.102188377053 51.040768868241, -114.102542226093 51.041053847784, -114.102316415634 51.041165275756, -114.102199479839 51.041071084666, -114.102185102429 51.041061566313, -114.102170708544 51.041054928286, -114.102157477566 51.041050578029, -114.102143677486 51.041047456266, -114.102127595349 51.041045386498, -114.102112456292 51.04104485315, -114.102097685134 51.041045619394, -114.102080505201 51.041048174902, -114.102065152171 51.041052148291, -114.102052501511 51.041056860074, -114.102040965368 51.041062609198, -114.102030942481 51.041069155288, -114.101893780249 51.041138698228, -114.101862481986 51.041580876043, -114.101977688676 51.041617255947, -114.102158159721 51.041622713334, -114.102681098941 51.041989029303, -114.103283922892 51.042326963653, -114.10326798124 51.042552509631, -114.104216641123 51.042579288558, -114.104482719787 51.042582021209, -114.10512957854 51.042600632454, -114.106343700008 51.042634842162, -114.106461132775 51.04265178879, -114.106528874906 51.042635637229, -114.106613652182 51.042634490149, -114.106749310902 51.042639716118, -114.106920620069 51.042663098262, -114.107138855072 51.042700197743, -114.107602707938 51.042798275789, -114.107980274057 51.042873826146, -114.108178777791 51.042925000965, -114.108312840741 51.042971954268, -114.108475792821 51.043046700256, -114.108581058574 51.04310545024, -114.108686491092 51.043182945377, -114.108723017228 51.043212870609, -114.10876889961 51.043255626267, -114.10880972914 51.043313365313, -114.108835301459 51.043372189231, -114.108849056304 51.043453493101, -114.108859397547 51.043525171239, -114.108854409633 51.043639097443, -114.110719982866 51.04363664745, -114.110876218783 51.043575163256, -114.112017127958 51.043151787783, -114.112213234461 51.043426663202, -114.112550464248 51.043799002257, -114.112969696213 51.044155734012, -114.113545226728 51.0446882929, -114.11390736674 51.045174473155, -114.114203912636 51.04567106894, -114.114668336225 51.046554075906, -114.114664927035 51.046553766408, -114.114626515243 51.04655059475, -114.114580114654 51.046546973334, -114.114535898583 51.046543807336, -114.114483704612 51.046538825119, -114.114437307709 51.046536111606, -114.114385839133 51.046529761297, -114.114332915617 51.046523862774, -114.114284354108 51.046522976233, -114.11423577753 51.046521180825, -114.114182861082 51.04651756562, -114.114129948806 51.046516224789, -114.114090817602 51.046516245013, -114.114055291939 51.046515812219, -114.114024849978 51.046518117223, -114.113980651864 51.046522241672, -114.113927030196 51.046528209196, -114.113878461152 51.046530064363, -114.113823389318 51.046531466467, -114.113771219161 51.046541990301, -114.113732814399 51.046547484447, -114.11368352694 51.046552989165, -114.113640779753 51.046556204111, -114.113584243447 51.046559433341, -114.113545113023 51.046560370335, -114.113497996632 51.046560848503, -114.113455232946 51.046563155435, -114.11340813297 51.046570941305, -114.113361041075 51.046581460029, -114.113309583622 51.046586058731, -114.113257431188 51.046597490281, -114.113205982581 51.046605729771, -114.113152348667 51.046612604914, -114.113103070079 51.04661536751, -114.11305306609 51.046619507115, -114.113002339519 51.046625012938, -114.112952335486 51.046629142611, -114.11290377851 51.046636021723, -114.112853774771 51.046639693776, -114.112805950614 51.046648846543, -114.112770455876 51.046661186842, -114.112727712178 51.046665318403, -114.112671176452 51.046669455154, -114.112624066484 51.0466667497, -114.112589262505 51.046664033271, -114.11254359955 51.046664059269, -114.112493591015 51.046666364734, -114.112441412677 51.046673696626, -114.112402300115 51.046681474407, -114.112350883365 51.046708878703, -114.112296583317 51.046741751504, -114.112246604866 51.046761854708, -114.112200971319 51.04678058728, -114.112151708763 51.046796582347, -114.112106807957 51.046817588582, -114.112060460133 51.046835864206, -114.11200902462 51.046855051753, -114.111957594208 51.046871048815, -114.111909055504 51.046885676646, -114.111854724485 51.046899392149, -114.111805458394 51.046914020634, -114.111763448295 51.046926817243, -114.111709835741 51.046942815384, -114.111655495827 51.046958815094, -114.111616372672 51.046968867024, -114.111570005111 51.04697847637, -114.111522183633 51.046988995047, -114.11147365237 51.047000889812, -114.111420752725 51.047010954814, -114.111366415191 51.04702147964, -114.111318599072 51.047034271733, -114.11127078295 51.047047073694, -114.111233111318 51.047061241412, -114.111178787475 51.047084081172, -114.111136791992 51.04710371783, -114.111085358741 51.047124730781, -114.111042628223 51.047141176748, -114.110993363811 51.047156721841, -114.110949903711 51.047172251514, -114.11089341297 51.047195552573, -114.110863707418 51.047207886799, -114.110820970558 51.047221142234, -114.11077026338 51.047235762658, -114.110722444616 51.047253588759, -114.110668859704 51.047275510629, -114.110618892529 51.047307470581, -114.110568929787 51.047335331189, -114.110518937064 51.047344026594, -114.110473284865 51.047355450754, -114.110429106864 51.047375098209, -114.110382768493 51.047403863276, -114.110338602304 51.047428517966, -114.110287192175 51.047459571175, -114.110235038586 51.047477851552, -114.110185784336 51.047497944198, -114.110140156803 51.047519867312, -114.110088021478 51.047545905745, -114.110043838582 51.047569651477, -114.109988087183 51.047598417158, -114.109931590899 51.047625824265, -114.109877994158 51.04764911312, -114.10983235232 51.047665111893, -114.109788889212 51.047679734072, -114.109740361173 51.047698917885, -114.109694013681 51.047718100531, -114.109650551307 51.047739113458, -114.109606369346 51.047757385175, -114.109554207605 51.04777246491, -114.109508567234 51.047782531231, -114.109462913295 51.04779350551, -114.109407850993 51.047806304503, -114.109352075 51.047830969686, -114.109305720782 51.047847418406, -114.109256451046 51.047855203732, -114.109205703714 51.047853857749, -114.109163664903 51.047855712046, -114.109110755914 51.047863034142, -114.109062946896 51.047879483225, -114.109009340863 51.047893655202, -114.108954990681 51.047900069709, -114.108905711554 51.047910588673, -114.108855722898 51.047922024331, -114.108802804179 51.04792524608, -114.108757866946 51.047925719409, -114.108707135957 51.047930772985, -114.108654233223 51.047940835837, -114.108599881203 51.047940409895, -114.108548407879 51.047939063402, -114.10849406363 51.047948678034, -114.108445501024 51.047954629355, -114.108389696445 51.047955120717, -114.108347653233 51.047955141718, -114.108296186722 51.047950604652, -114.108248341872 51.04795245501, -114.108201237475 51.047959321831, -114.108155588454 51.047967103341, -114.108100513907 51.047974884561, -114.108049053319 51.047979022471, -114.107999760566 51.047977673721, -114.107951196607 51.047976334166, -114.107916404636 51.047979089284, -114.107866394089 51.047981850347, -114.107812040474 51.047986897887, -114.107763486043 51.047989666552, -114.107709836638 51.047991513051, -114.107654763581 51.047993829201, -114.107601116292 51.047996592601, -114.107561260355 51.047998894698, -114.107521398067 51.047998454919, -114.107477894865 51.047996201649, -114.107424971609 51.047990757577, -114.107377865108 51.047991232369, -114.107331469975 51.04799034904, -114.107289439009 51.047996301973, -114.10723580049 51.048002256552, -114.107184338267 51.047999552898, -114.107134319603 51.047998205347, -114.107083575343 51.04799823297, -114.107030651074 51.047992330244, -114.106974829601 51.047985513192, -114.106920459765 51.047984178522, -114.106877699243 51.047982373837, -114.10682332873 51.04798012217, -114.106779827669 51.0479787775, -114.106725468947 51.047976067301, -114.106673269348 51.047975179122, -114.106626882624 51.047977945336, -114.10659499746 51.047980238933, -114.106546436673 51.04798026523, -114.106504391354 51.047979377608, -114.106450014577 51.047974383905, -114.106409414535 51.047969386624, -114.106354332681 51.047968500927, -114.106298519008 51.047971266599, -114.106281121936 51.047972189483, -114.106227486776 51.047974045178, -114.106188351862 51.047973604283, -114.106149193318 51.047969064079, -114.10609700071 51.047964985181, -114.106044809825 51.047962280787, -114.106007838519 51.047960012954, -114.105954200625 51.047960043609, -114.105904910042 51.047959610927, -114.105854170366 51.04796100535, -114.105817920487 51.047962395623, -114.105774441 51.047964241016, -114.105732399461 51.047965627514, -114.105678764667 51.047967023581, -114.105623673124 51.047967513876, -114.105567134522 51.04796571307, -114.105522920428 51.047964367678, -114.10548231246 51.047962111951, -114.105441002555 51.047958481414, -114.105385897556 51.047953038387, -114.105333702565 51.047948499774, -114.105280770299 51.047938946432, -114.105228561263 51.047927568398, -114.105180706166 51.047918010439, -114.105131397446 51.047908912244, -114.105075570816 51.047900278364, -114.105037154043 51.047895737121, -114.104981330903 51.047888001267, -114.104927684844 51.047884381629, -114.104886366982 51.047883492771, -114.104845765285 51.047883969696, -114.10479213118 51.047886273318, -114.104735593121 51.047884022623, -114.104689923022 51.047882678221, -114.104652954945 51.047881785384, -114.104608013619 51.047880441196, -114.104552192635 51.047873622987, -114.104510140267 51.047869543299, -114.104467377883 51.04786682168, -114.104415895146 51.047861832535, -114.104368769683 51.047853190544, -114.104312953895 51.047848655608, -114.104268006455 51.047844569427, -114.10422884678 51.04784002858, -114.104173753239 51.047833209542, -114.104125907667 51.04782775945, -114.104088204122 51.04782321636, -114.104049060171 51.04781867544, -114.103998305272 51.047813227885, -114.103964955611 51.047810506696, -114.103923630271 51.047806875637, -114.103871445198 51.047805996083, -114.103819250948 51.047807390016, -114.103767786666 51.047804217394, -114.103716322812 51.047800594363, -114.103668112607 51.047797868295, -114.103625977184 51.047794849151, -114.103587545396 51.047789866948, -114.103549847068 51.04778762595, -114.103498371691 51.047785855617, -114.103460681479 51.047787254525, -114.103417235255 51.047798241568, -114.10337307022 51.047812429576, -114.103326011657 51.047827977573, -114.103280392481 51.047843074794, -114.103229696565 51.047857718004, -114.103184797987 51.047869165618, -114.103180404384 51.047869984866, -114.103140618191 51.047877411338, -114.103110180895 51.047882462554, -114.103056653306 51.047913523436, -114.103010304603 51.047927713231, -114.102956005977 51.047945550851, -114.102908216184 51.047958824923, -114.102860414718 51.0479739239, -114.102819163318 51.047990833022, -114.10276556998 51.048004570616, -114.102714137898 51.048016022895, -114.102666341902 51.048026555004, -114.102623631687 51.048041649412, -114.102574368724 51.048053100624, -114.102521519426 51.04806865248, -114.102472247942 51.048076912301, -114.102422985088 51.048081979841, -114.102383844952 51.048085663963, -114.102330231844 51.048091184761, -114.102276597872 51.04809306561, -114.102222959857 51.048093111634, -114.10217075483 51.048090424402, -114.102119271561 51.048084545161, -114.102064165851 51.048078669061, -114.102014871646 51.048075978319, -114.101975007387 51.048074646666, -114.10193947424 51.048071944784, -114.101888717378 51.048065615322, -114.101835800746 51.04806292856, -114.101816944865 51.048062028035, -114.101776345865 51.048057964076, -114.101727039446 51.048056190176, -114.101685718518 51.04805394274, -114.101646561387 51.048049877482, -114.101602345378 51.048047640625, -114.101553777574 51.048044491479, -114.101510997587 51.0480408878, -114.101476194244 51.04803863463, -114.101436312786 51.04803593637, -114.101390644118 51.048034618545, -114.101355128278 51.04803328201, -114.101300751048 51.048027854405, -114.101250000278 51.048024257538, -114.101202144625 51.048020658143, -114.101161533856 51.048017042569, -114.101120939925 51.04801526177, -114.101077433064 51.048011191095, -114.10102741067 51.048008051978, -114.100990442601 51.048007175963, -114.100948394977 51.048005845847, -114.100907805459 51.04800543141, -114.100869381712 51.048004097238, -114.100817194522 51.048002317348, -114.100770798111 51.048001449396, -114.100719325997 51.048000585799, -114.100673652434 51.047996984306, -114.100638861999 51.047994730876, -114.10061493005 51.047994301993))",Residential,1,SNA,SUNALTA,CENTRE,BUILT-OUT,INNER CITY
"POLYGON ((-114.187805990867 51.061506344418, -114.187805319369 51.060938411096, -114.187660747632 51.06094520128, -114.187657159918 51.060503064822, -114.187655566678 51.059784642277, -114.187655370367 51.05969585023, -114.187803686521 51.059695612033, -114.188301871831 51.05969534995, -114.188511078979 51.059695068486, -114.188818401902 51.05969465517, -114.189208294417 51.059694128999, -114.189239810438 51.059694086971, -114.189240832208 51.059401636229, -114.189240559048 51.059243645026, -114.189240340299 51.05912839536, -114.189240135663 51.059014507612, -114.189239931029 51.058900619861, -114.189239726392 51.058786731209, -114.189239521761 51.058672843454, -114.189239316072 51.058559045595, -114.189237958393 51.058428599735, -114.189236444508 51.057983022098, -114.189236075018 51.057794040741, -114.189232703247 51.056074779386, -114.189228877758 51.054355731315, -114.189228517492 51.054174938569, -114.189228758786 51.052470564482, -114.208769851811 51.052432353869, -114.209628859061 51.052430834415, -114.210950816998 51.052428483938, -114.221510898526 51.052421650052, -114.222436528284 51.052425882077, -114.22257270389 51.052426075036, -114.224712315858 51.05242585759, -114.224710030438 51.052487355371, -114.224707211989 51.052676851824, -114.224653928988 51.066993752446, -114.216842482129 51.066999899335, -114.216714212105 51.066999987972, -114.210955772227 51.067003437624, -114.205070005456 51.067009345064, -114.199312998237 51.06701011688, -114.194023647524 51.067017568253, -114.193548619721 51.067008952484, -114.193090921478 51.066981498791, -114.192588310307 51.06691807127, -114.192155293336 51.066845123076, -114.19175952925 51.066759575126, -114.19137114943 51.066655205476, -114.19105242203 51.066555423238, -114.190696291313 51.066430625254, -114.190089392926 51.066159655208, -114.189449088492 51.065796536775, -114.188664317185 51.065332172205, -114.187673403487 51.064737716126, -114.18780976362 51.064709409668, -114.187805990867 51.061506344418))",Residential,1,WSP,WEST SPRINGS,WEST,DEVELOPING,BUILDING OUT
"POLYGON ((-113.869446537594 50.979572332142, -113.869446531893 50.979481942004, -113.865524961945 50.979481976879, -113.865536502032 50.972207290939, -113.865547198816 50.965112273487, -113.865560798162 50.957881642084, -113.865564363745 50.955805298114, -113.865569287005 50.952938468563, -113.865573389833 50.950534353187, -113.920317069839 50.950584530923, -113.920477114639 50.950584731699, -113.920505258726 50.951190878236, -113.920560871535 50.952662030567, -113.920636525506 50.954555650106, -113.920658536452 50.956258590638, -113.920721521153 50.958283053274, -113.92078408005 50.960561092008, -113.920819006521 50.961999186466, -113.920865813554 50.963777401992, -113.920876011191 50.965107964674, -113.920902239961 50.966780486846, -113.920817850879 50.967564759444, -113.920703378943 50.968941651305, -113.920534551091 50.970529077714, -113.920407503511 50.971964437191, -113.920320274141 50.97308511043, -113.920277584783 50.973078679635, -113.920049980062 50.973044388739, -113.919856856894 50.973014542266, -113.919603602844 50.972976392437, -113.919279421526 50.972925553346, -113.919020221157 50.972885654113, -113.918843762482 50.972860861718, -113.918622129157 50.972826309683, -113.918385273138 50.972792070227, -113.918197295506 50.972760346625, -113.917977694422 50.972727728505, -113.917729952626 50.972691043827, -113.917508322545 50.972655581705, -113.917280312701 50.972620014857, -113.916993122275 50.972580414035, -113.916783975045 50.972547979995, -113.916612021732 50.97252121866, -113.916474660755 50.972499381278, -113.916199877089 50.972457773649, -113.915909793113 50.972413088822, -113.915750469173 50.972387746714, -113.915474291347 50.972345408194, -113.91529415588 50.972317532347, -113.915112993544 50.972290708187, -113.914924587162 50.972261405363, -113.914706287439 50.972229005885, -113.914536233908 50.97220100228, -113.914373490611 50.972176850542, -113.914206264481 50.972152336591, -113.914058612148 50.972130075274, -113.913916982372 50.972107269827, -113.913774256774 50.972085020771, -113.913653292657 50.972067687094, -113.913530009679 50.972048562596, -113.913396204923 50.972029296219, -113.913251015577 50.972007584087, -113.913100321608 50.971982936091, -113.912958548048 50.971961369974, -113.912796673103 50.971938961614, -113.912697821143 50.97192883623, -113.912567034751 50.97191836233, -113.912498636288 50.971917069618, -113.912442974413 50.971919346392, -113.912389713697 50.971924340774, -113.912333707838 50.971927812888, -113.91226833835 50.97192852705, -113.912196716192 50.971937120573, -113.912123354305 50.971947861316, -113.91208357089 50.97195620902, -113.911825089278 50.972006777171, -113.911780654004 50.972019680013, -113.91178058822 50.972194199875, -113.908953584842 50.972967998336, -113.908660583946 50.973125288792, -113.90177078192 50.979480130948, -113.900583627599 50.979480574064, -113.896937243362 50.979481861318, -113.888582143173 50.979484142322, -113.885090053749 50.979484341121, -113.882453918929 50.9794834696, -113.877053158187 50.979481499245, -113.870355647169 50.97948191522, -113.870355656062 50.979572304462, -113.869446537594 50.979572332142))",Residual Sub Area,4,12A,12A,SOUTHEAST,N/A,OTHER
